Model Year,Fuel,NOx_RUNEX,PM2.5_RUNEX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CH4_RUNEX,N2O_RUNEX,ROG_RUNEX,CO_RUNEX,SOx_RUNEX
2007,Natural Gas,0.965934418,0.000403808,0.008844669,0.038491186,0.000422066,0.035378675,0.109974816,2769.013471,2.042072513,0.56448151,0.029715215,36.64444762,0
2008,Gasoline,0.273395902,0.000155095,0.002613163,0.035927536,0.00016868,0.01045265,0.102650103,1599.410121,0.004027877,0.022702453,0.013418446,0.418087541,0.01582714
2008,Diesel,4.797528804,0.012486319,0.006717177,0.038160518,0.013050895,0.026868708,0.109030051,1516.573731,0.010764986,0.238721951,0.23176691,0.315434687,0.014357385
2008,Electricity,0,0,0.003000001,0.019250006,0,0.012000003,0.055000016,0,0,0,0,0,0
2008,Natural Gas,0.712107293,0.000533358,0.0083855,0.03847268,0.000557474,0.033541999,0.109921943,2117.844193,1.581599789,0.431736393,0.023819569,28.20819821,0
2009,Gasoline,0.258147827,0.000190917,0.00265033,0.0361747,0.00020764,0.01060132,0.103356287,1709.30118,0.004329987,0.021359959,0.01447114,0.485813285,0.016914579
2009,Diesel,4.90752196,0.010821938,0.006901544,0.038293535,0.011311258,0.027606178,0.1094101,1528.542893,0.011038178,0.240606002,0.237648762,0.313158383,0.014470697
2009,Electricity,0,0,0.007819871,0.019250006,0,0.031279483,0.055000016,0,0,0,0,0,0
2009,Natural Gas,0.738851648,0.000749037,0.00816083,0.038464717,0.000782905,0.03264332,0.109899192,2193.156077,1.619106925,0.447089213,0.025195384,28.58049113,0
2010,Gasoline,0.279466465,0.00025468,0.002778166,0.037024809,0.000276987,0.011112664,0.10578517,1931.942053,0.005099715,0.023091859,0.017086718,0.453142861,0.019117746
2010,Diesel,0.412800907,0.007366639,0.008623007,0.038478036,0.007699726,0.034492027,0.109937247,1191.797277,0.00336158,0.187599301,0.072373888,0.08462014,0.01128273
2010,Electricity,0,0,0.008918693,0.019250006,0,0.035674774,0.055000016,0,0,0,0,0,0
2010,Natural Gas,0.672368097,0.000285966,0.007388245,0.038461411,0.000298897,0.029552982,0.109889744,2148.674734,1.534819943,0.438021401,0.022371696,25.82542606,0
2011,Gasoline,0.234748204,0.000256526,0.002725191,0.036672526,0.000278995,0.010900764,0.104778646,1612.252374,0.003576247,0.020338653,0.011791501,0.403278779,0.015954222
2011,Diesel,0.359414389,0.006517722,0.007650089,0.038447958,0.006812424,0.030600355,0.109851308,1202.460879,0.003029092,0.189277845,0.065215515,0.07461811,0.011383682
2011,Electricity,0,0,0.004181765,0.019013642,0,0.01672706,0.054324692,0,0,0,0,0,0
2011,Natural Gas,0.707369587,0.000513803,0.007762924,0.038366143,0.000537035,0.031051695,0.109617552,2164.842185,1.567442192,0.441317241,0.023957883,27.1480574,0
2012,Gasoline,0.200125223,0.000366407,0.002668925,0.036298356,0.000398501,0.010675699,0.103709587,1575.740542,0.003530026,0.017808295,0.011430652,0.412828213,0.015592915
2012,Diesel,0.518456415,0.006943599,0.008710836,0.038496428,0.007257558,0.034843342,0.109989793,1423.902393,0.003740304,0.224134673,0.080527725,0.097644304,0.013480066
2012,Electricity,0,0,0.00781312,0.019230669,0,0.031252478,0.054944768,0,0,0,0,0,0
2012,Natural Gas,0.68525891,0.000237351,0.007962727,0.038476833,0.000248083,0.031850907,0.109933808,2119.17499,1.554070997,0.432007685,0.022384547,27.04770269,0
2013,Gasoline,0.097680315,0.000502122,0.002261124,0.033586482,0.000546104,0.009044497,0.095961377,1084.877676,0.002386481,0.010649463,0.007104479,0.451605746,0.010735527
2013,Diesel,0.399293236,0.007019812,0.008332613,0.03849387,0.007337216,0.033330451,0.109982487,1342.135081,0.003266542,0.211263784,0.070327755,0.0812722,0.012705976
2013,Electricity,0,0,0.00389226,0.019238008,0,0.015569038,0.054965736,0,0,0,0,0,0
2013,Natural Gas,0.720892865,0.000529864,0.008004868,0.038340177,0.000553823,0.032019472,0.109543364,2173.457571,1.584613294,0.443073544,0.024342603,27.79107494,0
2014,Gasoline,0.062358423,0.000716836,0.002136722,0.032759207,0.000779625,0.008546888,0.093597734,1094.108504,0.002599347,0.007356076,0.007780201,0.51811547,0.010826872
2014,Diesel,0.386104123,0.006335631,0.007632151,0.038495645,0.0066221,0.030528604,0.109987556,1264.953426,0.003105834,0.199114717,0.066867764,0.076595244,0.011975298
2014,Electricity,0,0,0.008351927,0.019228946,0,0.033407707,0.054939845,0,0,0,0,0,0
2014,Natural Gas,0.812567279,0.00034833,0.008584695,0.038443697,0.00036408,0.034338781,0.109839134,2383.913523,1.766198859,0.485976367,0.025978423,31.61448844,0
2015,Gasoline,0.14453118,0.00102218,0.002548837,0.035499771,0.001111713,0.010195348,0.101427918,1486.673566,0.003657074,0.014564651,0.011284858,0.409565664,0.014711543
2015,Diesel,0.400409039,0.006740595,0.008089632,0.038481888,0.007045375,0.032358527,0.109948252,1356.57386,0.003230452,0.213536574,0.069550734,0.08031773,0.012842668
2015,Electricity,0,0,0.007076441,0.019167936,0,0.028305763,0.054765531,0,0,0,0,0,0
2015,Natural Gas,0.729992516,0.000336282,0.00765542,0.038403632,0.000351487,0.030621681,0.109724662,2254.118723,1.622464228,0.459516848,0.023958608,27.85637572,0
2016,Gasoline,0.072521274,0.00098192,0.002208524,0.033236688,0.001067927,0.008834095,0.094961966,959.9231121,0.002072494,0.008535273,0.006146122,0.440607513,0.009499025
2016,Diesel,0.384419572,0.006939622,0.00821178,0.038495862,0.007253401,0.032847122,0.109988176,1137.334359,0.003196004,0.179026362,0.068809099,0.078834343,0.01076713
2016,Electricity,0,0,0.007956959,0.019243524,0,0.031827834,0.054981496,0,0,0,0,0,0
2016,Natural Gas,0.843043466,0.000319698,0.008473821,0.038449979,0.000334153,0.033895286,0.109857081,2482.439561,1.824977852,0.506061544,0.02670642,32.42891936,0
2017,Gasoline,0.107715661,0.001270796,0.002487678,0.035093066,0.001382107,0.009950713,0.100265902,1452.254968,0.003741281,0.011351485,0.011640054,0.423685763,0.01437095
2017,Diesel,0.363620362,0.006562196,0.007825551,0.038498016,0.00685891,0.031302204,0.109994331,1224.277428,0.003061549,0.19271196,0.065914312,0.074611672,0.011590219
2017,Electricity,0,0,0.008017433,0.019090406,0,0.032069731,0.054544018,0,0,0,0,0,0
2017,Natural Gas,0.506020128,0.000899199,0.006845903,0.037696008,0.000939857,0.027383614,0.107702881,1643.60749,1.141315281,0.335060139,0.021735048,19.25160336,0
2018,Gasoline,0.093555263,0.001244865,0.002478867,0.035034474,0.001353904,0.00991547,0.100098496,1321.768253,0.003134988,0.010103163,0.00998543,0.415718427,0.013079704
2018,Diesel,0.384914516,0.00698001,0.008248276,0.038487927,0.007295615,0.032993105,0.109965507,1340.937455,0.003206813,0.211075267,0.069041811,0.079134576,0.012694638
2018,Electricity,0,0,0.007938998,0.019240848,0,0.031755991,0.054973851,0,0,0,0,0,0
2018,Natural Gas,0.107824554,0.000869128,0.007151839,0.037881051,0.000908426,0.028607356,0.108231574,1645.157154,3.467238902,0.335376048,0.0545297,40.11120154,0
2019,Gasoline,0.057205227,0.001259569,0.002267804,0.0336309,0.001369896,0.009071215,0.096088287,1180.145076,0.00284142,0.006661746,0.008824658,0.483058986,0.011678256
2019,Diesel,0.404212673,0.007279868,0.008578476,0.038479142,0.007609031,0.034313902,0.109940407,1375.915537,0.003329416,0.216581123,0.071681414,0.082979069,0.013025775
2019,Electricity,0,0,0.006519828,0.01917594,0,0.026079311,0.054788401,0,0,0,0,0,0
2019,Natural Gas,0.105784585,0.000544448,0.006947201,0.038313426,0.000569065,0.027788806,0.109466932,1774.933052,3.479590397,0.361831714,0.052123314,39.67224764,0
