Source: EMFAC2021 (v1.0.2) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units: miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Statewide Totals,2023,UBUS,2011,Aggregate,Electricity,0.357073437,35.41610565,0,35.41610565,1.428293748,0,0,0,0,0,0,0.00423375,0.019250006,0,0,0,0.016934998,0.055000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2011,Aggregate,Natural Gas,190.7762861,20085.8171,20085.8171,0,763.1051444,0.757369434,0,0,0.000213799,0,0,0.008335807,0.038500011,0.000223466,0,0,0.03334323,0.110000032,2277.464233,0,0,1.683222328,0,0,0.464275982,0,0,0.024049926,0,0,0,0,0,1.717851845,0,0,0,0,0,0.97,29.76642465,0,0,0,0,0
Statewide Totals,2023,UBUS,2012,Aggregate,Gasoline,0.177466433,20.20152589,20.20152589,0,0.709865733,0.363631657,0,1.306336712,0.000405916,0,0.000268274,0.003000001,0.038500011,0.00044147,0,0.000291772,0.012000003,0.110000032,1915.050657,0,124.6281609,0.004403477,0,0.19188666,0.029148607,0,0.104825494,0.014511726,0,0.810682792,0.105686536,0.178341704,1.405792178,0.021175477,0,0.887595615,0.105686536,0.178341704,1.405792178,0.045,0.390245248,0,10.77766886,0.018932225,0,0.001232076
Statewide Totals,2023,UBUS,2012,Aggregate,Diesel,132.5753627,17335.43959,17335.43959,0,530.3014507,0.524352822,0,0,0.007012639,0,0,0.008797033,0.038500011,0.00732972,0,0,0.03518813,0.110000032,1431.159996,0,0,0.003774101,0,0,0.22547984,0,0,0.081255359,0,0,0,0,0,0.092503041,0,0,0,0,0,0.22,0.098690025,0,0,0.013560968,0,0
Statewide Totals,2023,UBUS,2012,Aggregate,Electricity,3.621258941,134.723378,0,134.723378,14.48503577,0,0,0,0,0,0,0.007820976,0.019250006,0,0,0,0.031283903,0.055000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2012,Aggregate,Natural Gas,439.6353351,48737.15484,48737.15484,0,1758.54134,0.706751022,0,0,0.000201788,0,0,0.008224913,0.038500011,0.000210912,0,0,0.03289965,0.110000032,2152.577359,0,0,1.59428596,0,0,0.438816976,0,0,0.022779201,0,0,0,0,0,1.627085759,0,0,0,0,0,0.97,28.10934147,0,0,0,0,0
Statewide Totals,2023,UBUS,2013,Aggregate,Gasoline,324.8997558,35696.79103,35696.79103,0,1299.599023,0.121060815,0,0.831916168,0.000502221,0,0.000172068,0.002261124,0.033586482,0.000546211,0,0.00018714,0.009044497,0.095961377,1085.49853,0,66.03865427,0.002340656,0,0.100460645,0.012318654,0,0.090372003,0.007034591,0,0.399831119,0.108366964,0.176201149,1.264720154,0.010264859,0,0.437764748,0.108366964,0.176201149,1.264720154,0.045,0.495711603,0,6.980639415,0.010731258,0,0.000652859
Statewide Totals,2023,UBUS,2013,Aggregate,Diesel,367.7462844,38509.24979,38509.24979,0,1470.985138,0.399398464,0,0,0.007024827,0,0,0.008332613,0.03849387,0.007342458,0,0,0.033330451,0.109982487,1340.928054,0,0,0.003266874,0,0,0.211263761,0,0,0.0703349,0,0,0,0,0,0.08007093,0,0,0,0,0,0.22,0.081336194,0,0,0.012705975,0,0
Statewide Totals,2023,UBUS,2013,Aggregate,Electricity,16.95600492,815.0629161,0,815.0629161,67.82401969,0,0,0,0,0,0,0.00389226,0.019238008,0,0,0,0.015569038,0.054965736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2013,Aggregate,Natural Gas,644.8658678,84244.62158,84244.62158,0,2579.463471,0.723173547,0,0,0.000631569,0,0,0.008004868,0.038340177,0.000660126,0,0,0.032019472,0.109543364,2173.44973,0,0,1.584613569,0,0,0.443071946,0,0,0.024477919,0,0,0,0,0,1.619219837,0,0,0,0,0,0.97,27.79206356,0,0,0,0,0
Statewide Totals,2023,UBUS,2014,Aggregate,Gasoline,261.4273651,20698.14177,20698.14177,0,1045.70946,0.074513402,0,0.729665767,0.000716804,0,0.000172861,0.002136722,0.032759207,0.00077959,0,0.000188002,0.008546888,0.093597734,1095.196264,0,53.95312755,0.002539818,0,0.078433828,0.008273332,0,0.086994271,0.007661825,0,0.31292569,0.077569396,0.094987174,0.759340268,0.011180118,0,0.342614242,0.077569396,0.094987174,0.759340268,0.045,0.55496064,0,6.36606036,0.01082713,0,0.000533382
Statewide Totals,2023,UBUS,2014,Aggregate,Diesel,319.5533778,39715.32753,39715.32753,0,1278.213511,0.386180735,0,0,0.006339267,0,0,0.007632151,0.038495645,0.0066259,0,0,0.030528604,0.109987556,1263.815812,0,0,0.003106073,0,0,0.199114696,0,0,0.066872909,0,0,0,0,0,0.076129717,0,0,0,0,0,0.22,0.076640546,0,0,0.011975297,0,0
Statewide Totals,2023,UBUS,2014,Aggregate,Electricity,8.609671208,340.5208709,0,340.5208709,34.43868483,0,0,0,0,0,0,0.008351927,0.019228946,0,0,0,0.033407707,0.054939845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
